geonum,pop,asian_nh,hawpi_nh,ntvam_nh,other_nh,black_nh,white_nh,unknown_nh,non_white_nh,asian_nh_index,hawpi_nh_index,ntvam_nh_index,other_nh_index,black_nh_index,white_nh_index,non_white_nh_index,asian_nh_pct,hawpi_nh_pct,ntvam_nh_pct,other_nh_pct,black_nh_pct,white_nh_pct,non_white_nh_pct,unknown_nh_index,unknown_nh_pct
1080959676001.0,593.0,0.0,0.0,0.0,0.0,0.0,581.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.434332521758925,0.0,0.0,0.0,0.0,0.0,0.0,0.9797639123102867,0.0,0.0848794431242264,0.02023608768971332
1080410049022.0,787.0,0.0,0.0,0.0,0.0,10.0,622.0,155.0,10.0,0.0,0.0,0.0,0.0,0.32427760635453934,1.1570285060824728,0.1618449564432368,0.0,0.0,0.0,0.0,0.012706480304955527,0.7903430749682337,0.012706480304955527,0.8261005945323243,0.19695044472681067
1080410034003.0,846.0,25.0,0.0,0.0,0.0,0.0,766.0,55.0,25.0,0.9639870788660269,0.0,0.0,0.0,0.0,1.3255216123231133,0.37639474208282314,0.02955082742316785,0.0,0.0,0.0,0.0,0.9054373522458629,0.02955082742316785,0.2726894244973054,0.06501182033096926
1080410045011.0,1252.0,28.0,0.0,5.0,0.0,96.0,383.0,740.0,129.0,0.7295503490152857,0.0,0.7331061447016823,0.0,1.9568547695925045,0.4478399696586876,1.3123790345836046,0.022364217252396165,0.0,0.003993610223642172,0.0,0.07667731629392971,0.3059105431309904,0.10303514376996806,2.4791531703789293,0.5910543130990416
1080410057001.0,874.0,17.0,0.0,0.0,0.0,24.0,799.0,34.0,41.0,0.6345108543822058,0.0,0.0,0.0,0.7007958156549816,1.3383316642910923,0.5975115800404944,0.019450800915331808,0.0,0.0,0.0,0.02745995423340961,0.914187643020595,0.04691075514874142,0.16317117965967323,0.038901601830663615
1080410028001.0,1014.0,21.0,0.0,0.0,0.0,23.0,489.0,481.0,44.0,0.6755895243839777,0.0,0.0,0.0,0.5788707053869346,0.7059912374130296,0.5526989301495467,0.020710059171597635,0.0,0.0,0.0,0.022682445759368838,0.4822485207100592,0.04339250493096647,1.989679339304115,0.47435897435897434
1080410033072.0,2390.0,161.0,0.0,0.0,12.0,19.0,1808.0,390.0,192.0,2.197503331615499,0.0,0.0,2.6827105145732153,0.2028838095321936,1.1074622510666943,1.0232393430292406,0.06736401673640167,0.0,0.0,0.00502092050209205,0.007949790794979079,0.7564853556485356,0.0803347280334728,0.6844514927245413,0.16317991631799164
1080410044011.0,3030.0,0.0,0.0,14.0,0.0,663.0,1805.0,548.0,677.0,0.0,0.0,0.8481771950053524,0.0,5.58422091489366,0.8720933690362536,2.8459020114851525,0.0,0.0,0.0046204620462046205,0.0,0.2188118811881188,0.5957095709570958,0.22343234323432343,0.7586018524593265,0.18085808580858087
1080410046011.0,3211.0,0.0,0.0,0.0,0.0,48.0,2652.0,511.0,48.0,0.0,0.0,0.0,0.0,0.3814983138476823,1.209098328459383,0.19040345919027446,0.0,0.0,0.0,0.0,0.01494861413889754,0.8259109311740891,0.01494861413889754,0.6675081359346118,0.1591404546870134
1080410046021.0,1920.0,0.0,0.0,6.0,0.0,21.0,1540.0,353.0,27.0,0.0,0.0,0.5736555582290664,0.0,0.27913208334486833,1.1742157429007867,0.17911684788866347,0.0,0.0,0.003125,0.0,0.0109375,0.8020833333333334,0.0140625,0.7711687912218399,0.18385416666666668
1080410046031.0,2418.0,143.0,0.0,0.0,0.0,0.0,1816.0,459.0,143.0,1.9292180120273648,0.0,0.0,0.0,0.0,1.0994815708718781,0.7532751548005919,0.05913978494623656,0.0,0.0,0.0,0.0,0.7510339123242349,0.05913978494623656,0.7962186719621523,0.18982630272952852
1080410024001.0,2861.0,218.0,13.0,0.0,0.0,0.0,2127.0,503.0,231.0,2.485651296485195,3.3599949626827312,0.0,0.0,0.0,1.088373699934168,1.0284141050860232,0.07619713386927647,0.004543865781195386,0.0,0.0,0.0,0.7434463474309682,0.08074099965047186,0.7374389903195598,0.17581265291855994
1080410004002.0,599.0,13.0,0.0,0.0,0.0,0.0,522.0,64.0,13.0,0.7079752850329591,0.0,0.0,0.0,0.0,1.2757691240431934,0.2764333471403599,0.021702838063439065,0.0,0.0,0.0,0.0,0.8714524207011686,0.021702838063439065,0.4481559022608015,0.10684474123539232
1080410055013.0,1342.0,66.0,101.0,0.0,0.0,135.0,644.0,396.0,302.0,1.604327348302935,55.65215547470851,0.0,0.0,2.567278262826977,0.7025249587657327,2.866344126504461,0.04918032786885246,0.07526080476900149,0.0,0.0,0.10059612518628912,0.4798807749627422,0.22503725782414308,1.2377092567049082,0.29508196721311475
1081010004001.0,847.0,0.0,0.0,0.0,0.0,0.0,373.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6446942964748212,0.0,0.0,0.0,0.0,0.0,0.0,0.44037780401416765,0.0,2.347312439221154,0.5596221959858324
1081010031052.0,1049.0,10.0,0.0,0.0,0.0,0.0,730.0,309.0,10.0,0.3109754313520148,0.0,0.0,0.0,0.0,1.018769134023586,0.12142228858038834,0.009532888465204958,0.0,0.0,0.0,0.0,0.6959008579599618,0.009532888465204958,1.2355461169172128,0.2945662535748332
1081010031053.0,855.0,0.0,0.0,0.0,0.0,0.0,653.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180866786810133,0.0,0.0,0.0,0.0,0.0,0.0,0.7637426900584795,0.0,0.9909716349004469,0.23625730994152047
