geonum,ntvam_nh_index,pop
1081010011001.0,6.812159753970164,512.0
1080039600001.0,8.894363433107463,743.0
1080299647001.0,5.562720564645493,1221.0
1080770006023.0,11.735054341854875,1095.0
1080370005032.0,7.193319569854554,1965.0
1080050067044.0,4.683673364306451,1215.0
1080839411002.0,172.99904699851848,712.0
1080350139043.0,3.15245326582948,1514.0
1080310083862.0,4.3784888460061175,2809.0
1080050077042.0,3.17375135949691,1446.0
1080050056142.0,9.834095283926853,560.0
1081259631002.0,3.3631104482436873,655.0
1081010020001.0,3.8511142370622644,715.0
1080439788001.0,4.159150494266352,971.0
1080870002001.0,3.189744198667268,1151.0
1080039603003.0,7.745560279886129,474.0
1080839694004.0,45.314454171444645,1191.0
1080310044053.0,4.515861712996341,1626.0
1080859666014.0,8.559305154528928,1008.0
1080010150001.0,3.3145897363421364,1883.0
1080919676002.0,4.906096533629432,898.0
1080050056303.0,3.236293844661531,2042.0
1080130126081.0,4.339711078801448,2538.0
1080130121053.0,3.4115898816767922,1399.0
1080410045073.0,7.468061860409894,1524.0
1080439782003.0,3.3726730982496296,762.0
1080310120012.0,4.581608451746288,601.0
1080310045063.0,6.410022372505402,1661.0
1080050071012.0,6.0765977530654,1299.0
1080259696003.0,4.058960868496675,1402.0
1080410039022.0,3.342824482798952,10928.0
1080679708001.0,18.31452697299537,3027.0
1080679708004.0,14.3759465194754,996.0
1080519639001.0,22.58429453217271,634.0
1080590117282.0,12.207390279114534,2000.0
1080590103071.0,6.226221999998912,1769.0
1080590117322.0,3.001958767511059,1223.0
1080590158003.0,3.6056455652988113,1731.0
1080350140091.0,4.933437800769971,1600.0
1080310041012.0,4.717914871416621,1284.0
1080010086061.0,4.207903235147307,2094.0
1080010093221.0,4.252916857225419,2115.0
1080079743002.0,4.6414609009684265,1582.0
1080050840002.0,9.023795297985314,712.0
1080710002003.0,6.106655942438449,992.0
1080959677001.0,3.294074331103285,613.0
1080590098282.0,4.434052623992784,1242.0
1080839691002.0,3.748675969577311,3183.0
1080690016032.0,3.8902204743481064,755.0
1080770015012.0,13.827333974975938,2310.0
1080310043041.0,3.089788353233784,1010.0
1080310009032.0,21.235578505137678,1556.0
1080010085492.0,19.206233066971734,1405.0
1080010093083.0,5.26742549880348,1394.0
1080099646001.0,7.833703213369897,703.0
1080050067092.0,11.96911384426911,1411.0
1080410077003.0,4.2912415784408084,1155.0
1081010035002.0,8.139944312485836,654.0
1080590098271.0,3.3342643949540087,2973.0
1080770013014.0,3.2306434957463455,1591.0
1080310036024.0,5.29935850558029,866.0
1080310009054.0,5.499237305705173,1402.0
1080310043064.0,4.637552302314979,950.0
1080050072012.0,6.3275680111057495,2611.0
1080410053003.0,3.9215643317611315,2715.0
1080439801001.0,4.430994656665892,290.0
1080679706002.0,5.8339546539969485,2297.0
1080590103052.0,3.2375622333915564,567.0
1080590098512.0,4.257064437736432,1423.0
1080590158001.0,4.690214358267456,1409.0
1080350145041.0,3.842158157441189,430.0
1081230020161.0,6.058595408316852,3242.0
1080470138002.0,5.654604788257941,2240.0
1081259631001.0,5.078262318749113,976.0
1080410047013.0,3.5169910859651177,2140.0
1081010006002.0,7.811479941842607,658.0
1080590103051.0,8.292092804308,1284.0
1080590113004.0,5.813415644903571,821.0
1080590120491.0,3.5281320296441123,1717.0
1080590117281.0,4.604943135613031,877.0
1080839693001.0,20.919170886657124,1132.0
1080690011043.0,9.976618403983764,1564.0
1080299646002.0,27.054497942680864,916.0
1081170002001.0,21.051580118497853,436.0
1080810004001.0,9.728942242769104,717.0
1080310083891.0,7.814873286734806,1151.0
1080859665023.0,5.3582529979450095,925.0
1080079404001.0,10.288571663813345,678.0
1080050819004.0,9.42278331387668,1578.0
1080130134023.0,4.7360624002399705,1938.0
1080410020001.0,4.883355658926998,827.0
1080410062001.0,4.743405132643443,1548.0
1080410028004.0,6.556063522617902,420.0
1080679707034.0,5.272432962364235,2472.0
1080679706004.0,3.323985477588983,1712.0
1080310046021.0,3.4170997754250885,2310.0
1080010078021.0,5.308894626284419,1556.0
1080679404003.0,3.0961170498543735,1838.0
1081099776003.0,6.060513977467808,1151.0
1080590109022.0,8.982977077622687,1737.0
1080930002002.0,10.71739725553705,2004.0
1080010093253.0,3.379194625626553,1847.0
1080410037051.0,3.354265058083578,3010.0
1081010009041.0,4.018829899457867,1416.0
1080039603001.0,17.143616853173977,2345.0
1080590159001.0,4.249935128926317,1339.0
1080839690002.0,10.230492394915844,1902.0
1080770015021.0,5.7472249355125316,3226.0
1080310032022.0,3.1869753234948135,864.0
1080310034023.0,7.3427911453320505,925.0
1081230010052.0,9.377157523259545,1155.0
1081010010001.0,8.051306080407949,1596.0
1080679711003.0,7.9966335343142125,1561.0
1080590111004.0,4.887952685502104,1352.0
1080590120393.0,7.768626995453188,638.0
1080839696003.0,12.178577546869501,1236.0
1080839693003.0,7.235295329015252,1776.0
1080690017073.0,7.271076419007592,1843.0
1080310007011.0,3.355343831151143,1696.0
1080310027024.0,3.029204267876258,909.0
1080839694002.0,70.1998835663366,944.0
1080770012001.0,5.679137828509775,1099.0
1080310009033.0,3.065172556029149,1078.0
1080310032033.0,5.454255261156583,1077.0
1080310009023.0,4.127179773769237,1023.0
1080140311001.0,3.4341285118474727,2940.0
1080010087054.0,5.427764493327331,1319.0
1080050811001.0,3.458561046714372,690.0
1080050846002.0,3.947737174909705,1116.0
1080130121052.0,3.100092763409189,1658.0
1080410065011.0,3.071196105241656,2092.0
1080410044021.0,3.3638441110814363,382.0
1081010029162.0,10.790574806348445,1412.0
1081010029181.0,3.312205308138956,2494.0
