geonum,non_white_nh_index,pop
1080410044011.0,2.8459020114851525,3030.0
1080410055013.0,2.866344126504461,1342.0
1080350140071.0,4.434813903640143,2223.0
1080350141162.0,5.64273428837858,1474.0
1080310083902.0,5.221242061928507,2903.0
1080310041036.0,2.5754334563332124,910.0
1080050810004.0,5.109271543038838,1239.0
1080050819003.0,3.7035182535702367,1754.0
1080050076002.0,2.660535550718883,1374.0
1080130123002.0,5.132812252407468,2149.0
1080410022002.0,3.6235132446442266,580.0
1080839411002.0,12.16473973176441,712.0
1080310051041.0,2.909615534038069,1878.0
1080310068113.0,3.4227061563402827,1723.0
1080310083121.0,3.3943157072662546,3366.0
1080310042023.0,2.8433309670892495,1653.0
1080010082002.0,3.2521734760011705,2205.0
1080010078023.0,2.8420011967924292,1721.0
1080050076001.0,4.4809533383781375,361.0
1080050850001.0,2.7213561696247495,2036.0
1080050077042.0,4.457138467824249,1446.0
1080050825002.0,2.933347717125884,1142.0
1080410038012.0,3.686339338404404,1351.0
1080839694004.0,3.1441949900859147,1191.0
1080310070894.0,4.985188705590223,1556.0
1080310083041.0,3.2802307960174195,2058.0
1080310014014.0,3.6372312504379036,1849.0
1080050828002.0,3.3555928714038656,725.0
1080050800002.0,2.98710665795977,1744.0
1080050872003.0,4.533578974809109,1534.0
1080050870003.0,3.072589914676016,2765.0
1080410007003.0,2.501476096044007,1441.0
1080310045063.0,2.576579501637447,1661.0
1080310083901.0,4.555640186365358,3288.0
1080050870001.0,3.772371248434901,1462.0
1080050807001.0,4.568507690571585,2052.0
1080410065021.0,2.8348032294574383,328.0
1080310041012.0,6.775316419963012,1284.0
1080319800001.0,3.5637321794833197,1519.0
1080050835001.0,3.974506523721149,1221.0
1080050831003.0,2.9774511504273913,2186.0
1080050800001.0,4.964749054193271,1801.0
1080310069014.0,4.716105408613724,686.0
1080310014024.0,2.94453059790552,2271.0
1080010082003.0,2.6409554126344217,1471.0
1080010083083.0,4.293911217680846,2115.0
1080010079004.0,3.0956630129490654,2407.0
1080050841003.0,3.03830313367525,1614.0
1080050072023.0,4.490208661367618,1563.0
1080050803001.0,5.850752894737005,701.0
