geonum,black_nh_index,pop
1080410044011.0,5.58422091489366,3030.0
1080310083902.0,9.819691144214334,2903.0
1080310041036.0,4.178655489445313,910.0
1080050842003.0,3.3527557806875903,1157.0
1080050049521.0,3.6221519331045364,1233.0
1080050806003.0,3.6576823950635147,921.0
1080050810004.0,9.948727038344945,1239.0
1080050819003.0,6.0527875769455735,1754.0
1080050077031.0,3.8039674984357075,899.0
1080410022002.0,7.260184236753226,580.0
1080410054001.0,4.036819036373274,1669.0
1080310051041.0,3.49244219295329,1878.0
1080310068113.0,3.332644059502615,1723.0
1080310083121.0,6.323297716923729,3366.0
1080310042023.0,3.5972842682902746,1653.0
1080010082002.0,3.287013117509768,2205.0
1080050076001.0,7.210820103186785,361.0
1080050077042.0,7.430285372104459,1446.0
1080050825002.0,3.061583821325751,1142.0
1080410038012.0,5.213692630013487,1351.0
1080410040091.0,3.2297628680929833,1849.0
1080310070894.0,8.938787244830158,1556.0
1080310083041.0,5.1710933224405435,2058.0
1080050828001.0,3.43990656927583,1328.0
1080050828002.0,6.089754535555433,725.0
1080050800002.0,4.346119462827045,1744.0
1080050872003.0,9.083620339358427,1534.0
1080050816004.0,3.8322266976464214,1545.0
1080050870003.0,5.113359414660631,2765.0
1080410007003.0,4.85264222616795,1441.0
1080410045073.0,3.1817080366269206,1524.0
1080310083901.0,8.631070606311951,3288.0
1080050870001.0,4.398907797719402,1462.0
1080050807001.0,5.024532962242352,2052.0
1080410065021.0,3.734728920014963,328.0
1080310041012.0,12.720572022480871,1284.0
1080310157004.0,3.053260324752639,1772.0
1080319800001.0,6.535570720355349,1519.0
1081230004011.0,4.577217299955773,959.0
1080050835001.0,5.936006489851793,1221.0
1080050800001.0,9.295693969343183,1801.0
1080310024022.0,3.9157216842002374,932.0
1080310031011.0,3.9866918175074204,1754.0
1080310069014.0,7.626432597843966,686.0
1080759664002.0,4.291899147684465,553.0
1080010082003.0,5.170056417940496,1471.0
1080010083083.0,6.588309031005119,2115.0
1080010079004.0,5.174107203410842,2407.0
1080050865001.0,3.1384615196242245,2163.0
1080050841003.0,4.822675045930103,1614.0
1080050072023.0,3.869733516291895,1563.0
1080050803001.0,7.135587637004337,701.0
1080050803004.0,5.8107121175096195,549.0
1080050077023.0,3.7464438789861516,1594.0
1080310119024.0,5.420853551763962,1676.0
1080310041035.0,8.575555658419827,991.0
1080310068093.0,5.099616588985949,1131.0
1080310023002.0,5.74935493701456,1416.0
1080050826001.0,9.216713677664044,1534.0
1080050871002.0,4.4732070387098775,1529.0
1080050872002.0,3.0698750035775166,1380.0
1080050804003.0,3.355085139711718,928.0
1080050810001.0,12.743489609774011,1516.0
1080050811003.0,6.276094019498169,2391.0
1080050072012.0,4.808946238640485,2611.0
1080410057003.0,4.929255707351654,2335.0
1080410053003.0,3.2429552224439324,2715.0
1080410052021.0,3.386460764910969,731.0
1081010003001.0,3.630880265296021,1954.0
1080310044043.0,3.5582705822467746,2374.0
1080310083911.0,6.075423315172181,3957.0
1080050834003.0,7.4471727974305235,2039.0
1080050844001.0,5.38556893276494,1469.0
1080050845002.0,3.280329245142294,1626.0
1080050873005.0,8.999502358687742,1157.0
1080050821002.0,6.75312882372128,2891.0
1080050869002.0,8.18836447257889,1736.0
1080050845001.0,4.03737386152561,1378.0
1080050803003.0,3.96938982802969,2321.0
1080410029001.0,9.699058477948597,1263.0
1080410044031.0,4.969204114294571,1551.0
1080310041043.0,9.944427303260518,1006.0
1080310083891.0,14.744770345237178,1151.0
1080050819004.0,9.121448198819815,1578.0
1080410020001.0,3.672257638200928,827.0
1080410059005.0,7.749725455319007,1146.0
1080410077002.0,3.1660009190674927,3047.0
1080410045034.0,3.3555001446241355,6229.0
1080410064003.0,5.206339877442637,799.0
1080410063011.0,7.4265573163794665,1567.0
1080310041045.0,4.0807126905239635,788.0
1080310035004.0,4.342054629809063,864.0
1080310019012.0,3.486771609001624,2430.0
1080310083893.0,6.6400133446901854,6703.0
1080010078021.0,8.069510687076033,1556.0
1080050851003.0,3.1062221446145335,2777.0
1080050868001.0,13.889219256467177,2012.0
1080050071042.0,4.075473016041433,1434.0
1080050811002.0,11.99108443143102,1128.0
1080050812002.0,5.806130146235296,1745.0
1080050813001.0,3.253043076575533,1216.0
1080050818003.0,6.225958596142768,1324.0
1080050808001.0,4.725075414947062,2922.0
1080410041004.0,6.3679159128853975,1042.0
1080410065022.0,3.041603961733705,5135.0
1080310036023.0,6.036003793966091,723.0
1080310041021.0,6.6864096764667895,1500.0
1080050076003.0,6.1991130427944166,881.0
1080050848002.0,3.4350284511248734,1107.0
1080050077033.0,7.682059807267264,2960.0
1080310083871.0,5.153933271593683,3382.0
1080310068101.0,4.915862451413138,976.0
1080010093213.0,3.286952520704269,955.0
1080010079003.0,4.189070214708285,859.0
1080050859002.0,3.8634924934992587,2127.0
1080870005002.0,3.1002860812568658,675.0
1080310083063.0,8.536065670531627,1166.0
1080310083062.0,9.406784164103804,1815.0
1080310019011.0,7.027993729228157,650.0
1080010078022.0,3.201580883848443,1387.0
1081230007032.0,3.45916864193358,1719.0
1080050838003.0,8.212089580725971,808.0
1080050829001.0,7.306314439626047,1488.0
1080050805001.0,5.58299130312627,2281.0
1080050809001.0,3.00839422276702,3020.0
1080050812003.0,13.042439812654296,1176.0
1080410061001.0,3.386100064874904,1839.0
1080410065023.0,9.915169142568741,1637.0
1080590102113.0,5.365526992905594,1113.0
1080310024032.0,6.054696156024258,1235.0
1080310023001.0,7.247483728241328,2148.0
1080310036031.0,12.138760759131728,1047.0
1080310036013.0,5.068457098692409,1717.0
1080310037011.0,3.2443956111821244,1762.0
1080050822003.0,10.917277829593859,2534.0
1080050822004.0,9.236895227357497,1713.0
1080050826002.0,8.325430842191448,797.0
1080050811001.0,4.808237957410569,690.0
1080050838001.0,4.909570685701623,1679.0
1080410065011.0,4.623482527733629,2092.0
1080410044021.0,3.6076308154071244,382.0
1080410045113.0,3.6531342395010142,4478.0
1080410068022.0,3.3408128952728737,1291.0
1080310014021.0,6.5877202131098445,1414.0
1080310068096.0,3.3627206275899435,850.0
1080310042021.0,7.680674523555953,834.0
1080310068133.0,5.215492349999077,1375.0
1080010080003.0,6.375037276989397,1245.0
1080050071043.0,4.674077911143325,2801.0
1080050873002.0,3.452868449849081,2003.0
