geonum,asian_nh_index,pop
1080350140071.0,7.718765526712847,2223.0
1080350141141.0,3.628289979206196,980.0
1080350141162.0,13.942627769172725,1474.0
1080310045053.0,4.472609030971159,1590.0
1080140309001.0,3.473656616323567,1681.0
1080050836001.0,2.669450668194265,2053.0
1080050067093.0,2.946442054732702,775.0
1080050856002.0,3.547385993986721,1784.0
1080130123002.0,12.3866911880141,2149.0
1080690016021.0,2.754883824632788,746.0
1080310068113.0,4.5060213663497795,1723.0
1080310120103.0,3.372689310367717,2331.0
1080010082002.0,2.944055885268228,2205.0
1080010078023.0,2.975913812647145,1721.0
1080010092042.0,2.7233772167804213,1653.0
1080050850001.0,5.127123418283119,2036.0
1080050068082.0,2.7736003883060083,1035.0
1080050839001.0,5.327240114417288,2033.0
1080050825002.0,3.599200233233029,1142.0
1080130606001.0,5.04853804446122,1092.0
1080590120414.0,4.357290575871855,1677.0
1080310030032.0,3.6024767648185287,1639.0
1080310045041.0,2.8742988058712413,1657.0
1080310014014.0,8.733128588788016,1849.0
1080310045062.0,3.73526596360607,1310.0
1080859666014.0,3.3656920296408135,1008.0
1080710004001.0,3.0016914031396364,739.0
1080590117311.0,4.612797211940578,2065.0
1080310120012.0,3.0938692124510845,601.0
1080010094073.0,2.889639662179773,1445.0
1080050807001.0,5.103043178544472,2052.0
1080130132133.0,4.2895755110661415,1270.0
1080130133053.0,3.5693445141611844,1837.0
1080039602005.0,2.933929942348711,656.0
1080590158003.0,2.9210312109001064,1731.0
1080350140091.0,2.691259126778174,1600.0
1080310040062.0,3.331626320838781,1596.0
1080310068123.0,3.3374950667116066,1212.0
1080010093221.0,2.8534017534434395,2115.0
1080050831003.0,3.9993204467911534,2186.0
1080050855002.0,3.1708942791156285,2181.0
1080050066013.0,3.128802617871083,1835.0
1080130122033.0,3.319446458335917,1366.0
1080130126074.0,3.708251922399764,1733.0
1080590117021.0,2.7725174849816243,1106.0
1080350141303.0,2.912618102573781,1512.0
1080310014024.0,4.26619676635906,2271.0
1080140313002.0,3.1436029821143876,633.0
1080010093234.0,3.342205959324791,937.0
1080050072023.0,6.428258097657399,1563.0
1080050803001.0,5.86346172090174,701.0
1080050068154.0,9.820555277788037,382.0
1080050071071.0,2.6812725018406343,6582.0
1080590120451.0,3.13075248317785,2334.0
1080590098271.0,4.805966822733246,2973.0
1080590118041.0,3.0464541079482457,1210.0
1080310055034.0,3.05708396046144,875.0
1080310013011.0,4.607944693219864,892.0
1080310021002.0,3.32175349139485,1532.0
1081230010042.0,2.8437174592870895,2604.0
1080050867001.0,3.142330908977854,3322.0
1080050068551.0,4.72744942339398,3395.0
1080050859001.0,4.734386706351405,3266.0
1080050072012.0,4.03549875445075,2611.0
1080130613002.0,4.383320435988882,1801.0
1080410051051.0,4.480181665074863,3495.0
1080310044043.0,11.913515932279884,2374.0
1080140304002.0,2.644304192518499,1320.0
1080010094061.0,3.212706028293504,1848.0
1080050833002.0,3.4779431033467127,1829.0
1080050834003.0,3.151741334732119,2039.0
1080050844001.0,2.9534621685458844,1469.0
1080050071061.0,4.632227830333341,2000.0
1080050068152.0,4.144424763112188,1527.0
1080050845001.0,3.8350176235920665,1378.0
1080050803003.0,3.949414774847136,2321.0
1080130135082.0,3.5397605535960506,1880.0
1080130126032.0,3.238019364719827,947.0
1081190101042.0,2.6665252361531087,1309.0
1080590120461.0,2.8673238386392326,1479.0
1080590117281.0,5.319098236125618,877.0
1080140312001.0,3.5098891565192907,2054.0
1080140310003.0,4.317319162230391,2297.0
1080050067071.0,2.7129738570452493,1491.0
1080050819004.0,11.783367532846018,1578.0
1080410045034.0,2.7546662009765064,6229.0
1080410051111.0,5.994083631383723,1932.0
1080410064003.0,3.4703534839176964,799.0
1080410028004.0,8.233000503275221,420.0
1080590117272.0,3.2161867498842875,1349.0
1080590098381.0,2.644386295918149,3010.0
1080930005001.0,3.0212489154107005,799.0
1080310040063.0,5.947659401664929,1437.0
1080310046021.0,3.488080830718661,2310.0
1080010092061.0,3.1797478975373488,2257.0
1080050851003.0,5.756013016537598,2777.0
1080050068563.0,5.130526092227134,3993.0
1080050818003.0,4.681307645224325,1324.0
1080130128003.0,2.772719389375428,5259.0
1080590098281.0,10.620895778687649,1634.0
1080690011102.0,4.611510110036036,1436.0
1080010090024.0,2.7678698089913265,1485.0
1080050848002.0,3.5361867478402544,1107.0
1080130126051.0,9.623644021345733,461.0
1080130134024.0,3.141631346522854,758.0
1080410025023.0,3.3043800564259804,2162.0
1080590120231.0,5.523089185673317,1766.0
1080350141392.0,3.6168032957443907,2327.0
1080350140102.0,3.6165546284729877,1353.0
1080310013012.0,2.996918268794616,1230.0
1080310070881.0,5.968914953371041,1492.0
1080310047001.0,4.007225827111106,521.0
1080050859002.0,2.607251935731302,2127.0
1080050862001.0,3.3677072235576566,2441.0
1080870005002.0,5.31606741091985,675.0
1080590102091.0,2.664703350239825,2681.0
1080590117091.0,5.130356396699693,1011.0
1080350141381.0,3.2374191515880693,1320.0
1080310083062.0,2.8217893507249237,1815.0
1080050857004.0,5.728484877172793,1156.0
1080050073024.0,14.498365666145043,873.0
1080410059002.0,4.324141403609007,943.0
1080410065023.0,2.9492704745426384,1637.0
1080590119511.0,2.728004325224243,2559.0
1080590120241.0,3.3884083629426076,1550.0
1080590120543.0,5.837968961880125,732.0
1080350140072.0,3.059595660722154,757.0
1080310010002.0,3.1851291525141603,932.0
1080010085462.0,3.344095397367123,1990.0
1080010085261.0,2.6491530625899284,1687.0
1080010096082.0,4.790183708906605,1900.0
1080050826002.0,3.0288304685233998,797.0
1080050068153.0,4.676892150369368,2232.0
